2025-05-02 14:17:24,716 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:17:31,236 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:17:35,619 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:23:48,242 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:24:29,713 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:24:33,631 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:27:11,868 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:27:13,043 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:27:18,318 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:31:39,429 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:31:52,288 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:31:56,542 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:39:01,518 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:40:18,545 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:40:22,982 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:42:43,640 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
2025-05-02 14:42:49,843 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:c3:e4:25:23:51
2025-05-02 14:42:53,988 | MainThread   | [INFO    ] | _connect            |: Connected to c0:c3:e4:25:23:51
2025-05-02 14:44:48,442 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:C3:E4:25:23:51
